Protocol,Accuracy,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_Precision,Macro_Precision_95CI_Lower,Macro_Precision_95CI_Upper,Macro_Recall,Macro_Recall_95CI_Lower,Macro_Recall_95CI_Upper,Macro_F1,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper,Cohen_Kappa,Cohen_Kappa_95CI_Lower,Cohen_Kappa_95CI_Upper
cross-subject,0.2760,0.2716,0.2807,0.2776,0.2728,0.2825,0.2795,0.2751,0.2840,0.2695,0.2651,0.2741,0.5341,0.5302,0.5378,0.0380,0.0321,0.0439
subject-dependent,0.3918,0.3871,0.3966,0.3882,0.3832,0.3933,0.3862,0.3815,0.3909,0.3859,0.3811,0.3909,0.6631,0.6592,0.6668,0.1839,0.1777,0.1903
