Subject_ID,Test_Samples,DSGAT_Accuracy,DSGAT_Macro_F1,DSGAT_Cohen_Kappa,DSGAT_Macro_AUC,LGB_Accuracy,LGB_Macro_F1,LGB_Cohen_Kappa,LGB_Macro_AUC
Subject_15,501,100.00%,1.0000,1.0000,1.0000,100.00%,1.0000,1.0000,1.0000
POPULATION_POOLED,501,100.00%,1.0000,1.0000,1.0000,100.00%,1.0000,1.0000,1.0000
