Protocol,Model,Accuracy,Macro-F1,Macro-AUC,Kappa,Oracle_Upper_Bound
subject_dependent,Standalone EEGNet,58.70%,0.5847,0.8102,0.4473,58.70%
subject_dependent,2-Model Ensemble (DANN + LGBM),66.58%,0.6625,0.8727,0.5529,77.06%
subject_dependent,3-Model Simple Averaging (Equal 1/3),67.37%,0.6701,0.8741,0.5632,82.61%
subject_dependent,"3-Model Weighted (D:0.44, L:0.34, E:0.22)",68.09%,0.6780,0.8754,0.5731,82.61%
cross_subject,Standalone EEGNet,37.96%,0.3731,0.6260,0.1704,37.96%
cross_subject,2-Model Ensemble (DANN + LGBM),40.52%,0.4061,0.6410,0.2063,51.21%
cross_subject,3-Model Simple Averaging (Equal 1/3),39.62%,0.3960,0.6495,0.1940,60.33%
cross_subject,"3-Model Weighted (D:0.04, L:0.54, E:0.42)",41.09%,0.4126,0.6496,0.2153,60.33%
