Protocol,Accuracy,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_Precision,Macro_Precision_95CI_Lower,Macro_Precision_95CI_Upper,Macro_Recall,Macro_Recall_95CI_Lower,Macro_Recall_95CI_Upper,Macro_F1,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper
subject-dependent,0.6130,0.6079,0.6181,0.6101,0.6051,0.6151,0.6114,0.6064,0.6166,0.6105,0.6055,0.6156,0.8321,0.8290,0.8353
cross-subject,0.3823,0.3774,0.3872,0.3960,0.3907,0.4012,0.3875,0.3826,0.3925,0.3811,0.3763,0.3860,0.6281,0.6241,0.6319
