Protocol,Accuracy,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_Precision,Macro_Precision_95CI_Lower,Macro_Precision_95CI_Upper,Macro_Recall,Macro_Recall_95CI_Lower,Macro_Recall_95CI_Upper,Macro_F1,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper,Cohen_Kappa,Cohen_Kappa_95CI_Lower,Cohen_Kappa_95CI_Upper
subject-dependent,0.5385,0.5337,0.5436,0.5369,0.5321,0.5422,0.5363,0.5316,0.5416,0.5364,0.5317,0.5417,0.7684,0.7650,0.7721,0.3823,0.3760,0.3893
cross-subject,0.2966,0.2919,0.3011,0.3027,0.2976,0.3076,0.3014,0.2967,0.3061,0.2918,0.2871,0.2963,0.5504,0.5469,0.5540,0.0667,0.0606,0.0725
