Protocol,Accuracy,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_Precision,Macro_Precision_95CI_Lower,Macro_Precision_95CI_Upper,Macro_Recall,Macro_Recall_95CI_Lower,Macro_Recall_95CI_Upper,Macro_F1,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper,Cohen_Kappa,Cohen_Kappa_95CI_Lower,Cohen_Kappa_95CI_Upper
subject-dependent,0.3635,0.3586,0.3681,0.3633,0.3585,0.3679,0.3631,0.3582,0.3678,0.3632,0.3583,0.3679,0.6233,0.6194,0.6272,0.1484,0.142,0.1547
cross-subject,0.3017,0.2971,0.3066,0.3013,0.2965,0.3061,0.298,0.2936,0.3027,0.2982,0.2936,0.303,0.5542,0.55,0.5584,0.0623,0.0563,0.0686
