Protocol,Accuracy,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_Precision,Macro_Precision_95CI_Lower,Macro_Precision_95CI_Upper,Macro_Recall,Macro_Recall_95CI_Lower,Macro_Recall_95CI_Upper,Macro_F1,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper,Cohen_Kappa,Cohen_Kappa_95CI_Lower,Cohen_Kappa_95CI_Upper
cross-subject,0.3858,0.3809,0.3908,0.386,0.3809,0.3911,0.3836,0.3786,0.3885,0.382,0.3769,0.3869,0.6231,0.6195,0.6268,0.1785,0.1719,0.1852
subject-dependent,0.6508,0.6461,0.6556,0.6507,0.6461,0.6556,0.6494,0.6449,0.6542,0.6499,0.6453,0.6547,0.861,0.8582,0.8637,0.5328,0.5266,0.5392
