Protocol,Accuracy,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_Precision,Macro_Precision_95CI_Lower,Macro_Precision_95CI_Upper,Macro_Recall,Macro_Recall_95CI_Lower,Macro_Recall_95CI_Upper,Macro_F1,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper,Cohen_Kappa,Cohen_Kappa_95CI_Lower,Cohen_Kappa_95CI_Upper
subject-dependent,0.5870,0.5820,0.5922,0.5857,0.5807,0.5908,0.5864,0.5813,0.5914,0.5847,0.5797,0.5899,0.8102,0.8070,0.8133,0.4473,0.4407,0.4545
cross-subject,0.3796,0.3744,0.3846,0.3742,0.3690,0.3792,0.3809,0.3761,0.3857,0.3731,0.3680,0.3779,0.6260,0.6221,0.6298,0.1704,0.1633,0.1769
