Model,Protocol,w_dom,Accuracy,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_Precision,Macro_Precision_95CI_Lower,Macro_Precision_95CI_Upper,Macro_Recall,Macro_Recall_95CI_Lower,Macro_Recall_95CI_Upper,Macro_F1,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper,Cohen_Kappa,Cohen_Kappa_95CI_Lower,Cohen_Kappa_95CI_Upper
Calibrated Inductive DANN (w_dom=0.1),cross-subject,0.1,0.3841,0.3793,0.3889,0.3828,0.3778,0.3877,0.3833,0.3785,0.3883,0.3825,0.3776,0.3874,0.6235,0.6197,0.6271,0.1765,0.1701,0.1830
Calibrated Inductive DANN (w_dom=0.1),subject-dependent,0.1,0.6553,0.6504,0.6599,0.6531,0.6480,0.6577,0.6553,0.6501,0.6599,0.6538,0.6488,0.6585,0.8663,0.8635,0.8690,0.5393,0.5327,0.5454
